logID,amount,vates,ilvldiff,NDruids,PowerInfusion,uptime_pct,boss,mage,duration_s,vates_by,Berserking,Destruction,VT,JoW
XvaTxBDdcwYG9j2K,1646.7522813299,0,1.5999984741210938,3,0,0,100623,107831267,131.831,0,1,0,8386,666
XvaTxBDdcwYG9j2K,1157.7839044243,0,-3.720001220703125,3,0,0,100624,91426081,190.425,0,0,0,0,2294
XvaTxBDdcwYG9j2K,1925.5822502297,1,3.279998779296875,3,0,0,100624,91686273,190.425,1,1,1,9386,3922
XvaTxBDdcwYG9j2K,1723.8702901405,1,1.279998779296875,3,1,0,100624,102029170,190.425,1,0,0,9203,3700
XvaTxBDdcwYG9j2K,1305.3853223054,0,1.279998779296875,3,0,0,100624,107831267,190.425,0,1,0,8814,1998
XvaTxBDdcwYG9j2K,1775.9135281672,1,3.3199996948242188,3,0,0,100627,91686273,230.179,1,1,2,13512,4514
XvaTxBDdcwYG9j2K,1749.5210249415,1,1.3199996948242188,3,1,0,100627,102029170,230.179,1,0,0,12861,4810
XvaTxBDdcwYG9j2K,1704.8166861443,0,1.3199996948242188,3,0,0,100627,107831267,230.179,0,1,0,13507,3848
XvaTxBDdcwYG9j2K,1675.1199665529,0,2.8799972534179545,3,0,0,100626,91686273,160.253,0,1,0,7348,0
XvaTxBDdcwYG9j2K,1964.2315588476,0,0.8799972534179545,3,1,0,100626,102029170,160.253,0,0,0,7345,0
XvaTxBDdcwYG9j2K,1645.36701341,0,0.8799972534179545,3,0,0,100626,107831267,160.253,0,1,0,7343,0
XvaTxBDdcwYG9j2K,1167.4966297081,0,-4.040000915527344,3,0,0,100625,91426081,218.082,0,0,0,0,2220
XvaTxBDdcwYG9j2K,1557.9552645335,1,2.9599990844726563,3,0,0,100625,91686273,218.082,1,1,1,9382,2368
XvaTxBDdcwYG9j2K,1565.7504975193,1,0.95999908447265625,3,1,0,100625,102029170,218.082,1,0,0,9557,2664
XvaTxBDdcwYG9j2K,1298.2226868792,0,0.95999908447265625,3,0,0,100625,107831267,218.082,0,1,0,9739,2368
XvaTxBDdcwYG9j2K,777.72601757973,0,3.239997863769517,3,0,0,100628,91686273,474.41,0,1,0,12391,3996
XvaTxBDdcwYG9j2K,1275.7635800257,1,1.239997863769517,3,2,0,100628,102029170,474.41,1,0,0,13194,4810
ydFAbVDMCJH6jQB8,372.16361792633,0,1.1999969482422017,4,0,0,100730,109016016,607.464,0,0,0,0,1776
ydFAbVDMCJH6jQB8,573.95664599054,0,1.1999969482422017,4,0,0,100730,110563104,607.464,0,0,0,0,2738
ydFAbVDMCJH6jQB8,501.28874910481,0,1.0833358764648438,4,0,0,100731,109016016,303.007,0,0,0,0,3552
ydFAbVDMCJH6jQB8,1083.9584564053,0,1.0833358764648438,4,0,0,100731,110320051,303.007,0,0,0,0,4690
ydFAbVDMCJH6jQB8,1143.4719329916,0,1.0833358764648438,4,0,0,100731,110563104,303.007,0,0,0,0,4651
ydFAbVDMCJH6jQB8,399.72208935524,0,1.1666641235351563,4,0,0,100732,109016016,330.322,0,0,0,0,2442
ydFAbVDMCJH6jQB8,788.32775291988,0,1.1666641235351563,4,0,0,100732,110320051,330.322,0,0,0,0,2886
ydFAbVDMCJH6jQB8,837.66446073831,0,1.1666641235351563,4,0,0,100732,110563104,330.322,0,0,0,0,3182
3y7wY9hpTrQFb8Cc,1931.3569659557,1,5.480003356933594,3,0,0,100623,100625161,135.265,1,0,0,8422,3552
